local_timestamp,eeg_timestamp,label
1768153534.416966,2754789.28209985,FixationStart_Trial_57
1768153535.4335299,2754790.29866385,FixationEnd_Trial_57
1768153535.4336789,2754790.29881195,PostureStart_Trial_57
1768153538.4427054,2754793.3078396497,PostureEnd_Trial_57
1768153538.442886,2754793.30802025,TrialEnd_Trial_57
1768153538.9563546,2754793.82148795,Trial_57_Complete
1768153538.9725666,2754793.83769975,Trial_58_Start
1768153538.9727023,2754793.83784165,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153538.9728606,2754793.83799445,PromptStart_Trial_58
1768153543.972529,2754798.83766295,PromptEnd_Trial_58
1768153543.972668,2754798.8378032497,FixationStart_Trial_58
1768153544.9859347,2754799.85106905,FixationEnd_Trial_58
1768153544.9860694,2754799.85120295,PostureStart_Trial_58
1768153547.9934938,2754802.85862765,PostureEnd_Trial_58
1768153547.9936655,2754802.85879935,TrialEnd_Trial_58
1768153548.5092838,2754803.37441755,Trial_58_Complete
1768153548.5256536,2754803.39078735,Trial_59_Start
1768153548.5258446,2754803.39097835,Posture_A_Extend_your_arm_after_the_sound
1768153548.525973,2754803.39110685,PromptStart_Trial_59
1768153553.5152993,2754808.38043415,PromptEnd_Trial_59
1768153553.5154893,2754808.38062375,FixationStart_Trial_59
1768153554.5264332,2754809.39156685,FixationEnd_Trial_59
1768153554.526581,2754809.39171455,PostureStart_Trial_59
1768153557.5312183,2754812.39635225,PostureEnd_Trial_59
1768153557.5313866,2754812.39652055,TrialEnd_Trial_59
1768153558.044586,2754812.90971985,Trial_59_Complete
1768153558.061217,2754812.92635085,Trial_60_Start
1768153558.0613804,2754812.92651435,Posture_A_Rest_your_arm_extended_after_the_sound
1768153558.061502,2754812.9266350497,PromptStart_Trial_60
1768153563.0523698,2754817.9175039497,PromptEnd_Trial_60
1768153563.0525298,2754817.91766385,FixationStart_Trial_60
1768153564.0572498,2754818.92238345,FixationEnd_Trial_60
1768153564.0574138,2754818.92254795,PostureStart_Trial_60
1768153567.069438,2754821.93457165,PostureEnd_Trial_60
1768153567.0695424,2754821.9346764497,TrialEnd_Trial_60
1768153567.5837324,2754822.44886825,Trial_60_Complete
1768153567.6003573,2754822.46549085,Trial_61_Start
1768153567.600459,2754822.46559305,Posture_A_Flex_your_arm_after_the_sound
1768153567.6005318,2754822.4656645497,PromptStart_Trial_61
1768153572.5840938,2754827.44922775,PromptEnd_Trial_61
1768153572.5842762,2754827.4494104497,FixationStart_Trial_61
1768153573.594054,2754828.45918785,FixationEnd_Trial_61
1768153573.5942066,2754828.45933935,PostureStart_Trial_61
1768153576.6065416,2754831.47167535,PostureEnd_Trial_61
1768153576.6067035,2754831.47183745,TrialEnd_Trial_61
1768153577.12249,2754831.9876237498,Trial_61_Complete
1768153577.1388452,2754832.00397905,Trial_62_Start
1768153577.138994,2754832.0041277497,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153577.1391218,2754832.00425685,PromptStart_Trial_62
1768153582.1351395,2754837.00027445,PromptEnd_Trial_62
1768153582.1353176,2754837.00045145,FixationStart_Trial_62
1768153583.1395156,2754838.00464985,FixationEnd_Trial_62
1768153583.1396754,2754838.00480925,PostureStart_Trial_62
1768153586.147414,2754841.01254815,PostureEnd_Trial_62
1768153586.1475616,2754841.0126953498,TrialEnd_Trial_62
1768153586.6605425,2754841.5256760498,Trial_62_Complete
1768153586.676715,2754841.54184955,Trial_63_Start
1768153586.676874,2754841.54200805,Posture_A_Extend_your_arm_after_the_sound
1768153586.6769924,2754841.54212545,PromptStart_Trial_63
1768153591.6677673,2754846.53290065,PromptEnd_Trial_63
1768153591.667852,2754846.53298475,FixationStart_Trial_63
1768153592.6791787,2754847.54431285,FixationEnd_Trial_63
1768153592.6793234,2754847.54445855,PostureStart_Trial_63
1768153595.6849568,2754850.55009055,PostureEnd_Trial_63
1768153595.6850984,2754850.55023245,TrialEnd_Trial_63
1768153596.196936,2754851.06206995,Trial_63_Complete
1768153596.2132857,2754851.07841995,Trial_64_Start
1768153596.2134905,2754851.07862445,Posture_A_Rest_your_arm_extended_after_the_sound
1768153596.2136393,2754851.07877305,PromptStart_Trial_64
1768153601.200042,2754856.06517635,PromptEnd_Trial_64
1768153601.200203,2754856.06533675,FixationStart_Trial_64
1768153602.2142632,2754857.0793966497,FixationEnd_Trial_64
1768153602.2143717,2754857.07950485,PostureStart_Trial_64
1768153605.2166014,2754860.0817349497,PostureEnd_Trial_64
1768153605.2167509,2754860.08188645,TrialEnd_Trial_64
1768153605.7177677,2754860.58290125,Trial_64_Complete
1768153605.735287,2754860.60042025,Trial_65_Start
1768153605.7353938,2754860.60052785,Posture_A_Flex_your_arm_after_the_sound
1768153605.7354674,2754860.60060385,PromptStart_Trial_65
1768153610.7295966,2754865.59473055,PromptEnd_Trial_65
1768153610.7297554,2754865.59488925,FixationStart_Trial_65
1768153611.744426,2754866.60956045,FixationEnd_Trial_65
1768153611.7445927,2754866.60972675,PostureStart_Trial_65
1768153614.7609897,2754869.62612385,PostureEnd_Trial_65
1768153614.7611425,2754869.62627615,TrialEnd_Trial_65
1768153615.2613518,2754870.12648595,Trial_65_Complete
1768153615.2773032,2754870.14243715,Trial_66_Start
1768153615.2774692,2754870.14260315,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153615.2775297,2754870.1426624497,PromptStart_Trial_66
1768153620.2738187,2754875.13895235,PromptEnd_Trial_66
1768153620.273956,2754875.13908995,FixationStart_Trial_66
1768153621.2766268,2754876.14176055,FixationEnd_Trial_66
1768153621.2767518,2754876.14188585,PostureStart_Trial_66
1768153624.2830734,2754879.14820735,PostureEnd_Trial_66
1768153624.2832036,2754879.14833745,TrialEnd_Trial_66
1768153624.7965958,2754879.66172965,Trial_66_Complete
1768153624.8132741,2754879.67840795,Trial_67_Start
1768153624.8134167,2754879.67855055,Posture_A_Extend_your_arm_after_the_sound
1768153624.8134942,2754879.67862755,PromptStart_Trial_67
1768153629.8110008,2754884.67613635,PromptEnd_Trial_67
1768153629.8112202,2754884.67635415,FixationStart_Trial_67
1768153630.8224154,2754885.68754935,FixationEnd_Trial_67
1768153630.8225775,2754885.68771135,PostureStart_Trial_67
1768153633.833919,2754888.69905295,PostureEnd_Trial_67
1768153633.83409,2754888.69922385,TrialEnd_Trial_67
1768153634.3493273,2754889.21446095,Trial_67_Complete
1768153634.3656368,2754889.2307701497,Trial_68_Start
1768153634.365742,2754889.23087605,Posture_A_Rest_your_arm_extended_after_the_sound
